Type,bicg,mvt,atax,gemver,trmm,doitgen,syrk,correlation,covariance,symm,syr2k,gemm,gramschmidt,2mm,nussinov,adi,3mm,fdtd-2d,jacobi-2d,seidel-2d,heat-3d,cholesky,ludcmp,lu
v8-turbofan,0.016005,0.01593,0.015903,0.016408,0.019744,0.020262,0.020377,0.022888,0.022994,0.022766,0.023793,0.02357,0.027336,0.028638,0.031901,0.070162,0.036784,0.028869,0.030339,0.152097,0.03777,0.077203,0.086834,0.087704
jsc-omg,0.028172,0.028431,0.02826,0.028662,0.031987,0.034486,0.034723,0.037145,0.037094,0.036578,0.040565,0.042209,0.04239,0.045547,0.049223,0.07527,0.056682,0.052369,0.059241,0.163335,0.078782,0.117009,0.123303,0.132246
sm-opt,0.018278,0.018334,0.018323,0.01875,0.02286,0.023098,0.023467,0.026252,0.025925,0.026826,0.028926,0.027421,0.031512,0.031852,0.035993,0.070479,0.04035,0.035511,0.038222,0.149765,0.044122,0.088339,0.096319,0.097837
jsc-bbq,0.012003,0.012073,0.011985,0.0127,0.026153,0.028022,0.032209,0.032367,0.034081,0.040634,0.046515,0.046991,0.045419,0.054535,0.110633,0.090542,0.087108,0.071019,0.103951,0.194004,0.136596,0.240975,0.257363,0.275647
sm-base,0.015171,0.015334,0.01526,0.015712,0.024441,0.02856,0.026147,0.031416,0.031302,0.033513,0.03669,0.035103,0.041807,0.045905,0.055884,0.085218,0.064393,0.055878,0.062207,0.161268,0.083766,0.173267,0.181491,0.195986
v8-liftoff,0.010297,0.010506,0.010413,0.010767,0.018333,0.019855,0.022633,0.024657,0.024371,0.028091,0.032065,0.027048,0.033689,0.034184,0.051703,0.076925,0.052036,0.045825,0.058551,0.161509,0.084327,0.158352,0.167923,0.173193
wasm3,0.007374,0.007302,0.0073,0.009741,0.041941,0.05199,0.067791,0.069048,0.072711,0.084607,0.105038,0.099293,0.115954,0.122586,0.170352,0.227791,0.201434,0.196798,0.229679,0.350911,0.346937,0.79135,0.892593,0.895204
jsc-int,0.01417,0.016362,0.016581,0.022616,0.097063,0.15121,0.186214,0.186656,0.162983,0.193867,0.228445,0.253128,0.313583,0.345615,0.441245,0.579384,0.609516,0.542118,0.59526,0.753606,0.905714,2.026532,2.223513,2.386791
wamr-fast,0.012443,0.012883,0.012458,0.016703,0.075249,0.100492,0.102135,0.110979,0.115249,0.123438,0.157642,0.156564,0.184346,0.205555,0.269299,0.357212,0.358231,0.307226,0.380081,0.567948,0.573732,1.242422,1.35362,1.370501
wizard,0.011817,0.013299,0.013659,0.018759,0.11873,0.130643,0.182991,0.187786,0.190925,0.210915,0.252299,0.279202,0.317157,0.323561,0.499927,0.584801,0.575995,0.596611,0.697591,0.886466,1.041054,2.024373,2.25364,2.30968
wamr-classic,0.017295,0.017935,0.021782,0.024121,0.133537,0.156131,0.182432,0.183251,0.187343,0.204661,0.284754,0.271028,0.296832,0.4018,0.466285,0.82923,0.618108,0.540301,0.683473,1.052186,1.115086,1.907502,2.15248,2.206194